"chart","sand","silt","clay","angle","label","symbol"
"USDA1951","0.850","0.150","0.000",0,"sand","Sa"
"USDA1951","0.450","0.150","0.400",0,"clay loam","ClLo"
"USDA1951","0.450","0.275","0.275",0,"clay loam","ClLo"
"USDA1951","0.200","0.525","0.275",0,"clay loam","ClLo"
"USDA1951","0.200","0.400","0.400",0,"clay loam","ClLo"
"USDA1951","0.450","0.275","0.275",0,"loam","Lo"
"USDA1951","0.525","0.275","0.200",0,"loam","Lo"
"USDA1951","0.525","0.425","0.050",0,"loam","Lo"
"USDA1951","0.450","0.500","0.050",0,"loam","Lo"
"USDA1951","0.225","0.500","0.275",0,"loam","Lo"
"USDA1951","0.225","0.500","0.275",0,"silt loam","SiLo"
"USDA1951","0.500","0.500","0.000",0,"silt loam","SiLo"
"USDA1951","0.200","0.800","0.000",0,"silt loam","SiLo"
"USDA1951","0.075","0.800","0.125",0,"silt loam","SiLo"
"USDA1951","0.000","0.875","0.125",0,"silt loam","SiLo"
"USDA1951","0.000","0.725","0.275",0,"silt loam","SiLo"
"USDA1951","0.000","0.400","0.600",0,"silty clay","SiCl"
"USDA1951","0.200","0.400","0.400",0,"silty clay","SiCl"
"USDA1951","0.000","0.600","0.400",0,"silty clay","SiCl"
"USDA1951","0.200","0.400","0.400",0,"silty clay loam","SiClLo"
"USDA1951","0.200","0.525","0.275",0,"silty clay loam","SiClLo"
"USDA1951","0.000","0.725","0.275",0,"silty clay loam","SiClLo"
"USDA1951","0.000","0.600","0.400",0,"silty clay loam","SiClLo"
"USDA1951","0.075","0.800","0.125",0,"silt","Si"
"USDA1951","0.200","0.800","0.000",0,"silt","Si"
"USDA1951","0.000","1.000","0.000",0,"silt","Si"
"USDA1951","0.000","0.875","0.125",0,"silt","Si"
"shepard1954","0.000","0.000","1.000",0,"clay",
"shepard1954","0.000","0.250","0.750",0,"clay",
"shepard1954","0.250","0.000","0.750",0,"clay",
"shepard1954","0.125","0.125","0.750",0,"sandy clay",
"shepard1954","0.250","0.000","0.750",0,"sandy clay",
"shepard1954","0.500","0.000","0.500",0,"sandy clay",
"shepard1954","0.400","0.200","0.400",0,"sandy clay",
"shepard1954","0.200","0.200","0.600",0,"sandy clay",
"shepard1954","0.400","0.200","0.400",0,"clayed sand",
"shepard1954","0.500","0.000","0.500",0,"clayed sand",
"shepard1954","0.750","0.000","0.250",0,"clayed sand",
"shepard1954","0.750","0.125","0.125",0,"clayed sand",
"shepard1954","0.600","0.200","0.200",0,"clayed sand",
"shepard1954","0.750","0.000","0.250",0,"sand",
"shepard1954","1.000","0.000","0.000",0,"sand",
"shepard1954","0.750","0.250","0.000",0,"sand",
"shepard1954","0.750","0.125","0.125",0,"silty sand",
"shepard1954","0.750","0.250","0.000",0,"silty sand",
"shepard1954","0.500","0.500","0.000",0,"silty sand",
"shepard1954","0.400","0.400","0.200",0,"silty sand",
"shepard1954","0.600","0.200","0.200",0,"silty sand",
"shepard1954","0.400","0.400","0.200",0,"sandy silt",
"shepard1954","0.500","0.500","0.000",0,"sandy silt",
"shepard1954","0.250","0.750","0.000",0,"sandy silt",
"shepard1954","0.125","0.750","0.125",0,"sandy silt",
"shepard1954","0.200","0.600","0.200",0,"sandy silt",
"shepard1954","0.250","0.750","0.000",0,"silt",
"shepard1954","0.000","1.000","0.000",0,"silt",
"shepard1954","0.000","0.750","0.250",0,"silt",
"shepard1954","0.125","0.750","0.125",0,"clayed silt",
"shepard1954","0.000","0.750","0.250",0,"clayed silt",
"shepard1954","0.000","0.500","0.500",0,"clayed silt",
"shepard1954","0.200","0.400","0.400",0,"clayed silt",
"shepard1954","0.200","0.600","0.200",0,"clayed silt",
"shepard1954","0.000","0.500","0.500",0,"silty clay",
"shepard1954","0.000","0.250","0.750",0,"silty clay",
"shepard1954","0.125","0.125","0.750",0,"silty clay",
"shepard1954","0.200","0.200","0.600",0,"silty clay",
"shepard1954","0.200","0.400","0.400",0,"silty clay",
"shepard1954","0.200","0.200","0.600",0,"sand + silt + clay",
"shepard1954","0.600","0.200","0.200",0,"sand + silt + clay",
"shepard1954","0.200","0.600","0.200",0,"sand + silt + clay",
